brightness_change_rate,flux_variability,peak_brightness,duration,spectral_index,rise_time,decay_time,lightcurve_skewness,label
-1.424713567,-2.756230803,-2.190675978,-2.658200879,-2.622223292,0.858159812,-1.236629811,-0.542682276,0
0.836327556,1.510697175,0.756064884,3.522481218,0.630552535,1.812735417,-0.595489921,2.169277664,0
-1.276325505,-1.384696555,-1.304378905,-2.487393727,0.110407908,-0.424658775,0.701684032,-1.411062492,0
1.798407885,0.749316994,-2.601287231,4.798764716,-0.77112891,0.109233235,-1.269497978,2.399222945,0
-0.960878904,0.537570384,1.954690841,-3.823417908,-1.378794082,0.213822624,-1.039969333,-3.034365646,1
-2.073947924,-0.379010574,0.508788733,-5.312219615,-1.594162641,-0.08210259,1.736704832,-0.261751922,1
-1.198250998,-3.056282948,1.081610402,-1.212939739,-2.250623537,-0.213023269,-3.385988177,-0.488817255,0
1.546968553,3.052659659,2.415121088,5.617608188,4.676832442,1.928218878,0.278597649,0.515814531,0
-2.167121921,-1.431016007,1.419316527,-2.293753345,1.892165022,0.088780392,2.289887615,0.987704685,1
-3.107255044,-2.830379504,-0.366527578,-1.446899361,1.17530853,-0.897420244,1.158381377,2.140084309,1
-1.477206328,-3.515611443,-2.080260853,-5.284835176,-2.972378008,0.41290867,0.045926898,-1.587124883,0
-0.449216844,2.807707664,-1.65986029,3.670695068,2.163490691,-0.262639005,-0.553388423,0.207901792,0
-2.435276212,-2.425666906,-0.062909237,-1.989626198,0.781272893,-2.590924463,0.743808436,0.646846038,1
-0.023551532,-1.26547779,1.520848044,-0.868676526,-0.395664639,-0.712240909,-1.371461835,-1.335579995,0
-1.022849081,-3.284970227,0.119137124,-3.944072017,0.014818987,1.13807824,1.787718087,-0.75947543,1
-2.571447435,1.433938391,1.813909003,1.316936687,1.419261231,-0.98439156,-3.539290566,-1.647781815,0
-1.372808671,-1.415377672,-0.704762106,3.288798111,2.824838821,-1.938195108,-2.261611059,-0.622204961,1
-0.3998368,-2.33066559,-1.074005034,-2.484011703,-2.987103154,0.894127592,-1.13586267,-0.38616705,0
-2.269692799,1.214659638,2.939846861,-0.242595934,1.909896899,0.957035864,-1.043408429,-0.747683822,0
-1.256376916,-2.804971793,1.978579232,-6.943737291,-1.653051352,1.642290933,4.715278117,2.248107608,1
-1.676700086,2.022539658,0.811064863,-3.033676112,0.57962937,0.264592175,1.028024984,-1.988059194,1
-2.207583093,-0.916689095,-0.264059713,0.630073466,1.902427171,1.576339121,-1.502926138,-1.094620688,1
-2.747160807,-1.934126827,-1.730265685,0.561247604,-1.465280801,0.355469958,-3.778253965,0.29777816,0
1.499927971,1.340604701,1.519444856,3.381061875,0.458374789,-0.499895484,-1.722216459,0.40099701,0
-3.397019634,0.471851287,1.240252874,-0.997219225,2.16716281,0.436278296,-2.995202392,-4.123325061,0
-1.841901705,-1.128407785,-2.259685873,-0.4978521,-1.488219208,-1.60388977,-2.331985998,-0.661995519,0
-2.226666828,-3.91484051,-1.032719072,-2.684445982,-3.046510613,1.251892136,-2.83292476,-0.374999437,0
-1.705249772,0.689824968,0.045894042,0.927513565,1.220924068,-0.721649377,-2.119579022,-1.553698675,0
-1.603806337,-0.028729267,-0.520044077,2.221438778,0.278485134,0.820678652,-2.918055381,0.208976685,0
-2.22322253,1.694646399,0.788719219,-6.54067762,-2.268114077,0.356020263,2.288863216,-0.712164596,1
-2.700093047,-2.169418093,-2.587726343,-4.542731546,-1.363803067,1.297381951,-0.441410289,-2.698578161,0
-0.696970959,1.870118802,2.148056316,0.875332709,2.851212078,-0.46255334,-0.406605823,-1.864671799,0
0.752465584,2.361016282,3.933609513,-3.72096415,-2.238569772,0.140148779,-1.326751576,-3.633534079,1
-2.058067029,-1.214523434,0.237864055,-1.580720713,0.889341887,0.771120586,1.523869464,1.46070057,1
0.672052819,0.311938444,-2.276422004,4.445875572,2.382210979,0.500084817,-1.499184645,-0.965769924,0
-0.598062579,-3.821112305,-0.425866035,-5.431912091,-4.039557348,-1.357314122,-1.06112007,-1.928226017,0
-0.558529478,1.606015844,0.396159818,2.200670344,2.068301091,1.248318443,-2.053436324,-2.178744197,0
-1.0094193,-0.235378215,-1.721655149,0.207574988,-0.649632264,0.380102511,-1.371836995,-0.410874542,0
-0.716545432,0.13984959,-1.228370379,3.535743511,1.598162659,-0.217404232,-2.849929845,-0.961850911,0
0.832337757,0.13759057,0.783437001,0.260971516,-0.412884749,0.204849145,-0.825798877,-0.773818083,0
-0.393412901,1.595125943,0.990854018,3.932032967,3.011057361,0.252031485,-1.741330244,-0.4953171,0
-1.56737338,1.310062914,-0.620256896,3.423510086,0.951231825,-0.949997878,-3.547658617,-0.398822821,0
2.347620939,0.10443508,2.146574765,1.091005296,-1.438362532,-0.802060159,-1.56004039,-0.244012733,0
1.235673172,-1.274401556,3.83608547,-1.968754617,-0.246055755,-0.888262144,0.4020564,-0.851005215,1
-0.257420994,-0.077602132,-1.175296561,1.083409126,-1.512628648,-0.791695863,-1.738388547,0.819617511,1
-1.841689224,-1.840212795,-0.142598575,-1.863341309,2.075399426,-1.179647515,1.20057089,-1.106163068,1
0.034914269,-2.736601276,-0.321079308,-4.606833526,-2.115875931,-0.12016083,1.029252845,-1.456471192,0
-0.937991862,0.495901973,-0.969647403,0.97140404,-2.373364719,-0.681161217,-2.884402519,0.873871635,0
-2.483485635,0.545709026,0.395691524,-1.116048043,1.08666827,1.870443207,-2.077940718,-3.064662342,0
-2.703065486,-2.023427643,-2.283855196,-2.331293543,-1.720542213,1.469827191,-2.358715237,-1.697404969,0
0.028169121,1.963127437,0.466968546,2.117358046,1.556663884,0.713562214,-1.057829227,-0.998767035,0
-2.104561423,0.580601663,-2.85302774,-0.589246139,0.030521236,0.791246035,-1.201412061,-1.802606507,0
-1.667347766,2.440162785,3.307673517,2.746036985,1.805622384,-0.432094175,-3.190645813,-0.293816509,0
-2.341027965,-2.099428314,-2.831601019,-4.157599827,-1.584345305,-0.015301295,-0.258148384,-2.16623576,0
0.164411994,-1.300989201,-0.456007243,0.67892058,-0.028995165,-0.500083735,-1.407704914,-0.90130775,1
-2.926299909,-0.460758301,-1.534505248,5.339327227,3.081449069,0.317011451,-3.470665712,1.154845476,1
-2.75119609,1.712187316,2.004605509,0.645373408,3.316209238,0.481597655,0.553164654,0.689734015,1
-0.739381324,3.013157324,2.353552213,-3.622017891,-0.423120519,-2.162284456,1.947772677,-0.828679749,1
0.458401507,1.705925886,0.051480612,2.923624855,0.071701294,1.213122565,-1.651257494,0.646133033,0
-2.417660631,-0.867277268,1.242861387,3.100226778,3.947576607,0.285982463,-0.927744877,1.353020958,1
-2.672959947,-1.289752828,-3.003098774,-5.027714576,0.083145473,0.766036314,1.221186475,-3.515194996,0
-0.934286543,-3.16402268,-1.081855079,-5.864193874,-3.275494982,1.05838944,-0.337422554,-2.710678924,0
-1.485064851,-0.325890473,3.408527246,-5.782771599,-2.460077431,0.467780457,1.172344417,0.227086025,1
-1.079886548,-1.605576953,0.544134465,-1.255502604,-1.039888901,-0.551259241,-2.270036481,-1.478260235,0
-0.685319475,0.440795899,0.614267951,-1.854233481,2.350999193,1.133847399,2.590242059,-1.196322705,1
-0.533920277,-3.24799349,-0.609393585,-5.953404416,-3.724590007,1.955905285,-0.676236252,-2.876935359,0
-1.247903041,1.117356501,0.895854061,-0.820622541,-0.369320945,0.362613385,-0.6873226,-0.167204332,0
-2.067081699,1.213094728,-0.699782322,1.174733609,1.123073434,1.069994415,-2.438386653,-1.670277246,0
1.626036269,2.697860501,0.798580058,4.754685399,3.753691886,0.558115867,-0.282863839,-0.982858028,0
-2.538028603,-1.945805197,2.074854382,1.443133564,2.717108263,-0.802319884,0.951116943,4.106397892,1
-2.021492861,-0.311164709,0.77059943,-7.909825709,-3.504420237,-1.314989395,0.276650151,-3.255866957,1
-4.061933756,-1.306169094,1.050466176,-0.658185843,1.596377976,1.088080923,-0.122529354,2.155201802,1
-0.72584959,0.852391671,0.567213125,0.182824792,3.859622323,0.073200425,0.583163886,-3.187258996,0
-2.954466737,1.919859426,-3.49338731,3.123691396,-0.13097541,1.743597926,-4.277033532,-0.516092116,0
-0.95618813,-0.692502745,0.657469377,0.146013816,2.449414337,-0.604896406,1.89636183,1.157925614,1
-0.99940558,-0.143291854,-0.554275996,0.310785637,0.472571032,0.669384809,-0.917832943,-0.580193007,0
-2.845149418,-1.448897542,3.139480963,-0.076603016,1.772862923,0.646484891,2.063370864,5.436385249,1
-1.442198511,-0.732150616,-1.379615514,-0.507973277,-0.531352843,0.161289746,-1.346966489,-0.713811337,0
-1.003125751,0.07491271,-2.296733417,-6.068708102,-0.040168837,0.120815471,2.504419545,-4.937164023,0
0.220834726,-1.737592967,0.468007133,-0.745392871,-1.534921947,0.878146051,-0.951468278,0.252963775,0
-0.764536451,0.282956478,-0.44670563,2.001420774,1.64842043,0.92457433,-1.358511586,-0.725863176,0
-2.034369974,-0.147007225,2.601271654,-1.898769474,2.558543449,1.013829126,1.25908545,-0.712487704,1
-1.508630291,0.292735681,-0.624477712,0.096960716,-1.008661646,0.851694843,-2.664504037,-0.944227193,0
-2.083113138,1.223442764,1.614454461,-1.122071259,1.450076081,1.950029923,-1.088562572,-2.26518951,0
-2.108343889,-0.390771639,-1.727359111,1.217989728,-0.438898778,2.232972736,-3.092265826,-0.399886417,0
-1.04885946,-1.678854406,1.374775728,0.087754134,2.189579605,-1.922051403,0.413300974,0.191524804,1
-0.082051224,1.180653737,3.63820191,-3.82795916,-1.680969037,-1.249358673,-0.049518141,-1.64256085,1
-2.027954318,0.582105662,1.717224628,-6.695230629,-2.265062312,0.725662156,0.948872646,-2.119995032,1
2.279741957,-0.990741412,1.003154522,1.826186133,-0.223292514,0.386109958,1.686592946,3.438851274,1
-4.618759573,-2.08813445,2.293459936,-2.02130456,4.001936093,-0.85620026,2.443023632,2.100107568,1
-0.095109252,0.478962939,0.150751693,1.45109033,-0.963225217,-0.41037912,-2.695909441,-0.388415127,0
1.601300824,-2.081239173,2.243082318,-2.838091739,-3.094609202,1.359423067,1.481387271,2.199175099,1
-3.774384879,2.054909946,-1.823940212,-6.853805053,-0.480528791,-0.102279919,4.407490816,-0.337206439,1
-1.414143412,3.150130025,0.204718931,-3.044355607,0.575658387,-0.121015031,0.77781921,-3.284472606,1
-1.740279569,1.176837286,-2.277600028,0.504634007,0.401729179,-0.324534928,-1.498909849,-1.49472746,0
-1.563208345,-0.33251217,-1.173301853,1.278704684,-0.536366167,-0.496639849,-3.190372514,-0.653694638,0
0.946810279,1.862463682,-0.242076085,2.706343052,0.846923929,-0.661807347,-0.449006601,0.24962397,0
-0.145117397,1.648072807,0.931586215,1.197695862,-0.123946492,-0.134385631,-0.627999238,1.015670441,0
-1.438714676,-1.652986538,-2.707903482,-3.781869741,-2.376859283,0.29726259,-0.420975061,-1.89807826,0
-2.599825378,2.076483733,4.728439206,-1.606726246,3.784503976,1.458487056,0.169076322,-2.459401695,0
-1.636412736,-4.837583768,0.026793855,-3.048955799,-3.543584547,-0.274669394,-3.264158256,-0.618217348,0
-1.933671313,-2.322551227,-1.426179925,2.360535139,3.59750699,0.000525631,1.970265929,3.360168395,1
-0.982937699,-0.337278208,-1.385443102,-2.184766849,-0.577767662,-0.662402269,-0.229035609,-2.060989329,0
-2.135381303,-2.970780795,-1.81420196,-3.821282528,-2.495466829,0.02906217,-1.520174719,-1.66303895,0
-0.177079919,-2.434171745,0.45974853,-1.209381396,-2.257870497,0.056512518,-1.8803299,-0.045926288,0
-1.097133635,-1.373634958,-1.436485934,0.216470819,-1.748819664,0.318460774,-2.479876191,0.139501048,0
-0.771407878,0.2505098,1.503617745,-1.123531766,1.865629049,0.743951913,2.015163191,0.24440717,1
-2.2252617,0.404347589,-1.342456864,2.256313912,-0.010373984,-0.731884019,-3.651995634,-0.240343389,0
-1.557605293,2.218050673,-1.405015171,-4.005349545,-0.561851083,0.662387791,2.158313161,-1.590466131,1
0.587852224,-1.102284412,-1.938488012,-0.438288613,0.668337229,0.061321533,0.591030159,-1.878631056,1
-2.715547898,-0.78473093,-3.917490063,-2.29157315,-0.310301145,-0.917304334,-0.302119884,-1.89112269,0
-2.08310378,1.140148897,1.680833684,-3.774972273,0.358595469,0.865793566,0.27186365,-2.582398294,0
-0.090922875,-1.428379139,-0.703867433,-1.188110826,-1.445557312,1.76298756,-0.617033475,-0.358882079,0
0.486044954,3.420922446,3.814918109,-1.231231801,0.530523213,-3.419595586,-0.381032999,-2.66538351,1
-1.404746404,1.019021761,-0.0037891,-0.333040851,-0.432744227,-1.562627888,-1.990007864,-1.415006128,0
0.031827583,-1.058897663,-0.156197067,-3.210160742,-0.553341482,-0.388553744,0.908408032,-2.204240483,0
0.914349558,1.728022663,-0.841422097,4.748659296,3.058551899,0.254700295,1.157133915,2.127868077,1
-2.699272431,0.958741387,2.041739381,-2.808419312,2.32111509,0.686846944,-0.354660909,-3.751436128,0
1.602308066,3.713428083,3.826422894,0.403363332,0.607955483,1.540078972,-0.703247253,-2.251019043,1
-1.710191781,2.065745356,2.444534211,1.364327148,1.462425133,0.475664019,-2.853923714,-1.535593914,0
-0.573806047,-1.281632306,2.942221448,-3.32556409,0.439792577,-1.193436588,2.422006709,0.629288794,1
-0.69165189,-4.039389935,0.652892313,-2.376933717,0.384848893,-0.900844289,2.320266352,1.776357049,1
-1.544793874,0.192114502,1.177838764,-1.688044053,0.510806829,0.148892309,0.092510928,-0.678723288,0
-1.078703104,0.214114851,-2.567131284,1.00848705,-1.08659433,-1.021164973,-1.745454508,0.256684043,0
0.804845371,2.433741732,4.409049873,-1.54734335,-0.400632961,-2.182551717,-0.45210338,-1.71174127,1
0.238011537,3.618312972,2.445611373,9.399027281,3.673998751,-1.016871976,-5.146181972,0.892474889,0
-1.301388457,3.830153565,0.815656556,-4.227739842,-0.710104935,0.930180785,2.002886429,-1.632156619,1
-1.250906733,0.161607347,-1.925233738,0.673660499,-1.505330778,1.018307792,-2.734872169,-0.477035153,0
0.84752996,2.270665708,2.167153633,-6.526432397,-5.013607208,0.919559929,-2.33263408,-6.16574584,1
-1.981550339,-1.106611506,-2.174151313,-2.661723486,-2.644268404,-2.004257899,-2.813627943,-2.586711803,0
-0.440726299,-3.606195571,-2.907907901,-7.715817651,-3.484105747,-0.18673409,2.944025242,-1.821067584,0
-1.832668076,0.173741967,2.126805105,3.184920461,3.947196098,0.997414997,0.900037864,3.396051899,1
0.417405008,-0.452578397,2.240790676,-3.372300755,-1.933635873,0.57535232,-1.440238287,-3.245061594,1
-1.648630709,1.153524016,1.920992207,-0.912531932,1.495914831,-1.917575758,-0.566270334,-1.625490547,0
-3.478866482,-2.642409179,-3.610659484,-4.695125557,-1.345479514,0.463259139,-0.5058196,-2.529290507,0
-4.477103054,-2.811058473,0.246149936,-7.764875456,-1.436997726,1.650666529,3.005640666,1.13815611,1
-1.159806988,-0.333865619,2.238830915,-4.036725285,-1.220479282,0.618902333,0.820735267,-0.383147747,1
-2.125054713,-0.524702233,1.86064918,-1.258609352,1.581081995,-1.10915259,3.416346536,4.193581197,1
0.082135144,-2.813399165,0.966027822,-4.751981455,-1.822391759,-0.933485112,2.201532818,0.150061564,1
-3.867681116,-1.459773596,-4.859209145,-3.094579347,-0.745854503,0.430568135,-0.477240007,-1.666954335,0
